orth,base,ctag
gorącej,gorący,adj:sg:gen:f:pos
gorąco,gorąco,adv:pos
gorący,gorący,adj:sg:nom:m1:pos
gorących,gorący,adj:pl:gen:m1:pos
gorącym,gorący,adj:sg:inst:m1:pos
gorącymi,gorący,adj:pl:inst:m1:pos
gorączek,gorączka,subst:pl:gen:f
gorączka,gorączka,subst:sg:nom:f
gorączki,gorączka,subst:sg:gen:f
gorączkotwórczych,gorączkotwórczy,adj:pl:gen:m1:pos
gorączkę,gorączka,subst:sg:acc:f
gos,gos,ign
gospodar,gospodar,ign
gospodarce,gospodarka,subst:sg:dat:f
gospodarcza,gospodarczy,adj:sg:nom:f:pos
gospodarcze,gospodarczy,adj:sg:nom:n:pos
gospodarczego,gospodarczy,adj:sg:gen:m1:pos
gospodarczej,gospodarczy,adj:sg:gen:f:pos
gospodarczemu,gospodarczy,adj:sg:dat:m1:pos
gospodarczo,gospodarczo,adv:pos
gospodarczy,gospodarczy,adj:sg:nom:m1:pos
gospodarczych,gospodarczy,adj:pl:gen:m1:pos
gospodarczym,gospodarczy,adj:sg:inst:m1:pos
gospodarczymi,gospodarczy,adj:pl:inst:m1:pos
gospodarczą,gospodarczy,adj:sg:acc:f:pos
gospodarka,gospodarka,subst:sg:nom:f
gospodarki,gospodarka,subst:sg:gen:f
gospodarką,gospodarka,subst:sg:inst:f
gospodarkę,gospodarka,subst:sg:acc:f
gospodarności,gospodarność,subst:sg:gen:f
gospodarność,gospodarność,subst:sg:nom:f
gospodarowania,gospodarowanie,subst:sg:gen:n
gospodarowanie,gospodarowanie,subst:sg:nom:n
gospodarowaniem,gospodarowanie,subst:sg:inst:n
gospodarowaniu,gospodarowanie,subst:sg:dat:n
gospodarować,gospodarować,inf:imperf
gospodarskich,gospodarski,adj:pl:gen:m1:pos
gospodarskie,gospodarski,adj:sg:nom:n:pos
gospodarskiego,gospodarski,adj:sg:gen:m1:pos
gospodarskimi,gospodarski,adj:pl:inst:m1:pos
gospodarstw,gospodarstwo,subst:pl:gen:n
gospodarstwa,gospodarstwo,subst:sg:gen:n
gospodarstwach,gospodarstwo,subst:pl:loc:n
gospodarstwami,gospodarstwo,subst:pl:inst:n
gospodarstwem,gospodarstwo,subst:sg:inst:n
gospodarstwie,gospodarstwo,subst:sg:loc:n
gospodarstwo,gospodarstwo,subst:sg:nom:n
gospodarstwom,gospodarstwo,subst:pl:dat:n
gospodarstwu,gospodarstwo,subst:sg:dat:n
gospodaruje,gospodarować,fin:sg:ter:imperf
gospodarujące,gospodarować,pact:sg:nom:n:imperf:aff
gospodarującej,gospodarować,pact:sg:gen:f:imperf:aff
gospodarujący,gospodarować,pact:sg:nom:m1:imperf:aff
gospodarujących,gospodarować,pact:pl:gen:m1:imperf:aff
gospodarującą,gospodarować,pact:sg:acc:f:imperf:aff
gospodarza,gospodarz,subst:sg:gen:m1
gospodarzy,gospodarz,subst:pl:gen:m1
gostyniński,gostyniński,adj:sg:nom:m1:pos
gostyński,gostyński,adj:sg:nom:m1:pos
goszczące,gościć,pact:sg:nom:n:imperf:aff
goszczącego,gościć,pact:sg:gen:m1:imperf:aff
goszczącym,gościć,pact:sg:inst:m1:imperf:aff
gotowa,gotowy,adj:sg:nom:f:pos
gotowane,gotowany,adj:sg:nom:n:pos
gotowania,gotowanie,subst:sg:gen:n
gotowe,gotowe,subst:sg:nom:n
gotowego,gotowe,subst:sg:gen:n
gotowej,gotowy,adj:sg:gen:f:pos
gotowości,gotowość,subst:sg:gen:f
gotowość,gotowość,subst:sg:nom:f
gotowy,gotowy,adj:sg:nom:m1:pos
gotowych,gotowe,subst:pl:gen:n
gotowym,gotowe,subst:sg:inst:n
gotową,gotowy,adj:sg:acc:f:pos
gotów,gotowy,adjc
gotówce,gotówka,subst:sg:dat:f
gotówki,gotówka,subst:sg:gen:f
gotówkowe,gotówkowy,adj:sg:nom:n:pos
gotówkowego,gotówkowy,adj:sg:gen:m1:pos
gotówkowej,gotówkowy,adj:sg:gen:f:pos
gotówkowo,gotówkowo,adv:pos
gotówkowy,gotówkowy,adj:sg:nom:m1:pos
gotówkowych,gotówkowy,adj:pl:gen:m1:pos
gotówkowym,gotówkowy,adj:sg:inst:m1:pos
gotówką,gotówka,subst:sg:inst:f
gotówkę,gotówka,subst:sg:acc:f
gozdnica,Gozdnica,subst:sg:nom:f
gołdap,Gołdap,subst:sg:nom:f
gołe,goły,adj:sg:nom:n:pos
gołębi,gołąb,subst:pl:gen:m2
gończego,gończy,subst:sg:gen:m2
gończy,gończy,subst:sg:nom:m2
gończych,gończy,subst:pl:gen:m2
gończym,gończy,subst:sg:inst:m2
gości,gościa,subst:sg:gen:f
gościnności,gościnność,subst:sg:gen:f
gościnny,gościnny,adj:sg:nom:m1:pos
gościnnych,gościnny,adj:pl:gen:m1:pos
gościom,gościa,subst:pl:dat:f
gościły,gościć,praet:pl:m2:imperf
gr,grosz,brev:npun
gra,gra,subst:sg:nom:f
grabarczyk,Grabarczyk,subst:sg:nom:m1
grach,gra,subst:pl:loc:f
gracyjnymi,gracyjnymi,ign
grad,grad,subst:sg:nom:m3
graficzna,graficzny,adj:sg:nom:f:pos
graficzne,graficzny,adj:sg:nom:n:pos
graficznego,graficzny,adj:sg:gen:m1:pos
graficznej,graficzny,adj:sg:gen:f:pos
graficznie,graficznie,adv:pos
graficzno,graficzno,ign
graficzny,graficzny,adj:sg:nom:m1:pos
graficznych,graficzny,adj:pl:gen:m1:pos
graficznym,graficzny,adj:sg:inst:m1:pos
graficzną,graficzny,adj:sg:acc:f:pos
grafika,grafik,subst:sg:gen:m1
grafiki,grafik,subst:pl:nom:m3
grafitowych,grafitowy,adj:pl:gen:m1:pos
grające,grać,pact:sg:nom:n:imperf:aff
grającemu,grać,pact:sg:dat:m1:imperf:aff
grającym,grać,pact:sg:inst:m1:imperf:aff
grama,gram,subst:sg:gen:m3
gramach,gram,subst:pl:loc:m3
grami,gra,subst:pl:inst:f
gramie,gram,subst:sg:loc:m3
gramy,gram,subst:pl:nom:m3
gramów,gram,subst:pl:gen:m3
granatowa,granatowy,adj:sg:nom:f:pos
granatowego,granatowy,adj:sg:gen:m1:pos
granic,granica,subst:pl:gen:f
granica,granica,subst:sg:nom:f
granicach,granica,subst:pl:loc:f
granicami,granica,subst:pl:inst:f
granice,granica,subst:pl:nom:f
granicy,granica,subst:sg:gen:f
graniczej,graniczej,ign
graniczna,graniczny,adj:sg:nom:f:pos
graniczne,graniczny,adj:sg:nom:n:pos
granicznego,graniczny,adj:sg:gen:m1:pos
granicznej,graniczny,adj:sg:gen:f:pos
granicznemu,graniczny,adj:sg:dat:m1:pos
graniczni,graniczny,adj:pl:nom:m1:pos
graniczny,graniczny,adj:sg:nom:m1:pos
granicznych,graniczny,adj:pl:gen:m1:pos
granicznym,graniczny,adj:sg:inst:m1:pos
granicznymi,graniczny,adj:pl:inst:m1:pos
graniczną,graniczny,adj:sg:acc:f:pos
graniczy,graniczyć,fin:sg:ter:imperf
graniczącego,graniczyć,pact:sg:gen:m1:imperf:aff
graniczących,graniczyć,pact:pl:gen:m1:imperf:aff
graniczącym,graniczyć,pact:sg:inst:m1:imperf:aff
graniczącą,graniczyć,pact:sg:acc:f:imperf:aff
granicą,granica,subst:sg:inst:f
granicę,granica,subst:sg:acc:f
granity,granit,subst:pl:nom:m3
grant,grant,subst:sg:nom:m3
grantów,grant,subst:pl:gen:m3
granul,granula,subst:pl:gen:f
granulaty,granulat,subst:pl:nom:m3
granulkach,granulka,subst:pl:loc:f
granulki,granulka,subst:sg:gen:f
granulowany,granulować,ppas:sg:nom:m1:imperf:aff
granulowanych,granulować,ppas:pl:gen:m1:imperf:aff
gratulacyjny,gratulacyjny,adj:sg:nom:m1:pos
gratyfikacja,gratyfikacja,subst:sg:nom:f
gratyfikacje,gratyfikacja,subst:pl:nom:f
gratyfikacji,gratyfikacja,subst:sg:gen:f
gratyfikację,gratyfikacja,subst:sg:acc:f
grawerowanie,grawerować,ger:sg:nom:n:imperf:aff
grawerskie,grawerski,adj:sg:nom:n:pos
grawerskimi,grawerski,adj:pl:inst:m1:pos
grawimetryczne,grawimetryczny,adj:sg:nom:n:pos
grawimetrycznych,grawimetryczny,adj:pl:gen:m1:pos
grawitacyjnej,grawitacyjny,adj:sg:gen:f:pos
grawitacyjnych,grawitacyjny,adj:pl:gen:m1:pos
grażyny,Grażyna,subst:sg:gen:f
grd,grd,ign
grecja,Grecja,subst:sg:nom:f
grecji,Grecja,subst:sg:gen:f
greckich,grecki,subst:pl:gen:m3
grecką,grecki,adj:sg:acc:f:pos
grobach,grób,subst:pl:loc:m3
grobami,grób,subst:pl:inst:m3
grobem,grób,subst:sg:inst:m3
grobie,grób,subst:sg:loc:m3
groble,grobla,subst:pl:nom:f
grobli,grobla,subst:sg:gen:f
grobu,grób,subst:sg:gen:m3
groby,grób,subst:pl:nom:m3
grobów,grób,subst:pl:gen:m3
grodzenia,grodzić,ger:sg:gen:n:imperf:aff
grodzi,grodź,subst:sg:gen:f
grodziska,grodzisko,subst:sg:gen:n
grodziski,grodziski,adj:sg:nom:m1:pos
grodziskiego,grodziski,adj:sg:gen:m1:pos
grodzkich,grodzki,adj:pl:gen:m1:pos
grodzkie,grodzki,adj:sg:nom:n:pos
grodzkiego,grodzki,adj:sg:gen:m1:pos
grodzkiemu,grodzki,adj:sg:dat:m1:pos
grodzkim,grodzki,adj:sg:inst:m1:pos
gromad,gromada,subst:pl:gen:f
gromady,gromada,subst:sg:gen:f
gromadzenia,gromadzić,ger:sg:gen:n:imperf:aff
gromadzenie,gromadzić,ger:sg:nom:n:imperf:aff
gromadzeniem,gromadzić,ger:sg:inst:n:imperf:aff
gromadzeniu,gromadzić,ger:sg:dat:n:imperf:aff
gromadzi,gromadzić,fin:sg:ter:imperf
gromadzić,gromadzić,inf:imperf
gromadził,gromadzić,praet:sg:m1:imperf
gromadzkie,gromadzki,adj:sg:nom:n:pos
gromadzkiej,gromadzki,adj:sg:gen:f:pos
gromadzona,gromadzić,ppas:sg:nom:f:imperf:aff
gromadzone,gromadzić,ppas:sg:nom:n:imperf:aff
gromadzony,gromadzić,ppas:sg:nom:m1:imperf:aff
gromadzonych,gromadzić,ppas:pl:gen:m1:imperf:aff
gromadzonym,gromadzić,ppas:sg:inst:m1:imperf:aff
gromadzonymi,gromadzić,ppas:pl:inst:m1:imperf:aff
gromadzą,gromadzić,fin:pl:ter:imperf
gromadząc,gromadzić,pcon:imperf
gromadząca,gromadzić,pact:sg:nom:f:imperf:aff
gromadzącego,gromadzić,pact:sg:gen:m1:imperf:aff
gromadzących,gromadzić,pact:pl:gen:m1:imperf:aff
grona,grono,subst:sg:gen:n
gronowe,gronowy,adj:sg:nom:n:pos
gronowego,gronowy,adj:sg:gen:m1:pos
gronowy,gronowy,adj:sg:nom:m1:pos
gronowych,gronowy,adj:pl:gen:m1:pos
gronowym,gronowy,adj:sg:inst:m1:pos
gronowymi,gronowy,adj:pl:inst:m1:pos
gross,Gross,subst:sg:nom:m1
grossrosen,grossrosen,ign
grosza,grosz,subst:sg:gen:m3
groszach,grosz,subst:pl:loc:m3
grosze,grosz,subst:pl:nom:m3
groszy,grosz,subst:pl:gen:m3
grozi,grozić,fin:sg:ter:imperf
groził,grozić,praet:sg:m1:imperf
groziła,grozić,praet:sg:f:imperf
groziła,grozić,praet:sg:f:imperf
by,by,qub
groziło,grozić,praet:sg:n:imperf
groziło,grozić,praet:sg:n:imperf
by,by,qub
groźba,groźba,subst:sg:nom:f
groźbie,groźba,subst:sg:dat:f
groźby,groźba,subst:sg:gen:f
groźbą,groźba,subst:sg:inst:f
groźbę,groźba,subst:sg:acc:f
groźne,groźny,adj:sg:nom:n:pos
groźnych,groźny,adj:pl:gen:m1:pos
grożąc,grozić,pcon:imperf
grożąca,grożący,adj:sg:nom:f:pos
grożące,grożący,adj:sg:nom:n:pos
grożącego,grożący,adj:sg:gen:m1:pos
grożącej,grożący,adj:sg:gen:f:pos
grożącemu,grożący,adj:sg:dat:m1:pos
grożący,grożący,adj:sg:nom:m1:pos
grożących,grożący,adj:pl:gen:m1:pos
grożącym,grożący,adj:sg:inst:m1:pos
grożącymi,grożący,adj:pl:inst:m1:pos
grożącą,grożący,adj:sg:acc:f:pos
gruba,gruba,subst:sg:nom:f
grubego,gruby,subst:sg:gen:m1
grubej,gruby,adj:sg:gen:f:pos
grubości,grubość,subst:sg:gen:f
grubość,grubość,subst:sg:nom:f
gruczolakowatość,gruczolakowatość,ign
gruczołów,gruczoł,subst:pl:gen:m3
grudki,grudka,subst:sg:gen:f
grudnia,grudzień,subst:sg:gen:m3
grudniu,grudzień,subst:sg:loc:m3
grudzień,grudzień,subst:sg:nom:m3
grudziądz,Grudziądz,subst:sg:nom:m3
grudziądzki,grudziądzki,adj:sg:nom:m1:pos
gruncie,grunt,subst:sg:loc:m3
grundstucksgesellschaft,grundstucksgesellschaft,ign
grunt,grunt,subst:sg:nom:m3
gruntach,grunt,subst:pl:loc:m3
gruntami,grunt,subst:pl:inst:m3
gruntem,grunt,subst:sg:inst:m3
gruntom,grunt,subst:pl:dat:m3
gruntowa,gruntowy,adj:sg:nom:f:pos
gruntowe,gruntowy,adj:sg:nom:n:pos
gruntowej,gruntowy,adj:sg:gen:f:pos
gruntowy,gruntowy,adj:sg:nom:m1:pos
gruntowych,gruntowy,adj:pl:gen:m1:pos
gruntowymi,gruntowy,adj:pl:inst:m1:pos
gruntową,gruntowy,adj:sg:acc:f:pos
gruntu,grunt,subst:sg:gen:m3
grunty,grunt,subst:pl:nom:m3
gruntów,grunt,subst:pl:gen:m3
grup,grupa,subst:pl:gen:f
grupa,grupa,subst:sg:nom:f
grupach,grupa,subst:pl:loc:f
grupami,grupa,subst:pl:inst:f
grupie,grupa,subst:sg:dat:f
grupom,grupa,subst:pl:dat:f
grupowa,grupowa,subst:sg:nom:f
grupowania,grupować,ger:sg:gen:n:imperf:aff
grupowaniu,grupować,ger:sg:dat:n:imperf:aff
grupowe,grupowa,subst:pl:nom:f
grupowego,grupowy,subst:sg:gen:m1
grupowej,grupowa,subst:sg:gen:f
grupowy,grupowy,subst:sg:nom:m1
grupowych,grupowa,subst:pl:gen:f
grupowym,grupowa,subst:pl:dat:f
grupową,grupowa,subst:sg:acc:f
grupujące,grupować,pact:sg:nom:n:imperf:aff
grupujących,grupować,pact:pl:gen:m1:imperf:aff
grupy,grupa,subst:sg:gen:f
grupą,grupa,subst:sg:inst:f
grupę,grupa,subst:sg:acc:f
gruszecznika,gruszecznik,subst:sg:gen:m3
gruszek,gruszka,subst:pl:gen:f
gruszkami,gruszka,subst:pl:inst:f
gruszki,gruszka,subst:sg:gen:f
gruzji,Gruzja,subst:sg:gen:f
gruzu,gruz,subst:sg:gen:m3
gruźlica,gruźlica,subst:sg:nom:f
gruźlicy,gruźlica,subst:sg:gen:f
gruźlicą,gruźlica,subst:sg:inst:f
gruźlicę,gruźlica,subst:sg:acc:f
gry,gra,subst:sg:gen:f
gryficki,gryficki,adj:sg:nom:m1:pos
gryfino,gryfino,ign
gryfiński,gryfiński,adj:sg:nom:m1:pos
gryfowie,Gryfów,subst:sg:loc:m3
gryfów,gryf,subst:pl:gen:m2
gryki,gryka,subst:sg:gen:f
grypa,grypa,subst:sg:nom:f
grypy,grypa,subst:sg:gen:f
gryzaczki,gryzaczek,subst:pl:nom:m3
gryzoni,gryzoń,subst:pl:gen:m2
grze,gra,subst:sg:dat:f
grzebalne,grzebalny,adj:sg:nom:n:pos
grzebalnej,grzebalny,adj:sg:gen:f:pos
grzebalnych,grzebalny,adj:pl:gen:m1:pos
grzebania,grzebanie,subst:sg:gen:n
grzebanie,grzebanie,subst:sg:nom:n
grzebaniem,grzebanie,subst:sg:inst:n
grzebie,grzebać,fin:sg:ter:imperf
grzebowisk,grzebowisko,subst:pl:gen:n
grzebowiska,grzebowisko,subst:sg:gen:n
grzebowisko,grzebowisko,subst:sg:nom:n
grzegorz,Grzegorz,subst:sg:nom:m1
grzejne,grzejny,adj:sg:nom:n:pos
grzejnikami,grzejnik,subst:pl:inst:m3
grzejników,grzejnik,subst:pl:gen:m3
grzejnych,grzejny,adj:pl:gen:m1:pos
grzejnymi,grzejny,adj:pl:inst:m1:pos
grzeszczak,grzeszczak,ign
grzewcze,grzewczy,adj:sg:nom:n:pos
grzewczego,grzewczy,adj:sg:gen:m1:pos
grzewczej,grzewczy,adj:sg:gen:f:pos
grzewczowentylacyjnych,grzewczowentylacyjny,adj:pl:gen:m1:pos
grzewczy,grzewczy,adj:sg:nom:m1:pos
grzewczych,grzewczy,adj:pl:gen:m1:pos
grzewczym,grzewczy,adj:sg:inst:m1:pos
grzmiąca,grzmiący,adj:sg:nom:f:pos
grzy,grzy,ign
grzyba,grzyb,subst:sg:gen:m1
grzybami,grzyb,subst:pl:inst:m1
grzybice,grzybica,subst:pl:nom:f
grzybka,grzybek,subst:sg:gen:m2
grzybni,grzybnia,subst:sg:gen:f
grzybnię,grzybnia,subst:sg:acc:f
grzybom,grzyb,subst:pl:dat:m1
grzybowe,grzybowa,subst:pl:nom:f
grzybowie,grzyb,subst:pl:nom:m1
grzybowych,grzybowa,subst:pl:gen:f
grzyboznawcy,grzyboznawcy,ign
grzyboznawców,grzyboznawców,ign
grzyboznawcę,grzyboznawcę,ign
grzyby,grzyb,subst:pl:nom:m2
grzybów,grzyb,subst:pl:gen:m1
grzywien,grzywna,subst:pl:gen:f
grzywna,grzywna,subst:sg:nom:f
grzywnami,grzywna,subst:pl:inst:f
grzywnie,grzywna,subst:sg:dat:f
grzywny,grzywna,subst:sg:gen:f
grzywną,grzywna,subst:sg:inst:f
grzywnę,grzywna,subst:sg:acc:f
grób,grób,subst:sg:nom:m3
grójecki,grójecki,adj:sg:nom:m1:pos
grą,gra,subst:sg:inst:f
grę,gra,subst:sg:acc:f
gręplarstwo,gręplarstwo,ign
gręplowanie,gręplować,ger:sg:nom:n:imperf:aff
gt,gt,ign
guano,guano,subst:sg:nom:n
guaree,guaree,ign
guawa,guawa,subst:sg:nom:f
gubernatorów,gubernator,subst:pl:gen:m1
gubin,Gubin,subst:sg:nom:m3
guido,guido,ign
guillaina,guillaina,ign
guje,guje,ign
guldenów,gulden,subst:pl:gen:m2
gumboro,gumboro,ign
gumopodobnych,gumopodobnych,ign
gumowa,gumowy,adj:sg:nom:f:pos
gumowane,gumować,ppas:sg:nom:n:imperf:aff
gumowanej,gumować,ppas:sg:gen:f:imperf:aff
gumowe,gumowy,adj:sg:nom:n:pos
gumowego,gumowy,adj:sg:gen:m1:pos
gumowej,gumowy,adj:sg:gen:f:pos
gumowo,gumowo,ign
gumy,guma,subst:sg:gen:f
gumą,guma,subst:sg:inst:f
gus,GUS,subst:sg:nom:m3
gustorzyn,gustorzyn,ign
guza,guz,subst:sg:gen:m2
guzikowe,guzikowy,adj:sg:nom:n:pos
guzików,guzik,subst:pl:gen:m3
guzowata,guzowaty,adj:sg:nom:f:pos
guzów,guz,subst:pl:gen:m2
gwar,gwar,subst:sg:nom:m3
gwarancja,gwarancja,subst:sg:nom:f
gwarancjach,gwarancja,subst:pl:loc:f
gwarancjami,gwarancja,subst:pl:inst:f
gwarancje,gwarancja,subst:pl:nom:f
gwarancji,gwarancja,subst:sg:gen:f
gwarancją,gwarancja,subst:sg:inst:f
gwarancję,gwarancja,subst:sg:acc:f
gwarancyjna,gwarancyjny,adj:sg:nom:f:pos
gwarancyjne,gwarancyjny,adj:sg:nom:n:pos
gwarancyjnego,gwarancyjny,adj:sg:gen:m1:pos
gwarancyjnej,gwarancyjny,adj:sg:gen:f:pos
gwarancyjnemu,gwarancyjny,adj:sg:dat:m1:pos
gwarancyjny,gwarancyjny,adj:sg:nom:m1:pos
gwarancyjnych,gwarancyjny,adj:pl:gen:m1:pos
gwarancyjnym,gwarancyjny,adj:sg:inst:m1:pos
gwarancyjną,gwarancyjny,adj:sg:acc:f:pos
gwarant,gwarant,subst:sg:nom:m1
gwaranta,gwarant,subst:sg:gen:m1
gwarantem,gwarant,subst:sg:inst:m1
gwarantowana,gwarantowany,adj:sg:nom:f:pos
gwarantowane,gwarantowany,adj:sg:nom:n:pos
gwarantowanego,gwarantowany,adj:sg:gen:m1:pos
gwarantowanej,gwarantowany,adj:sg:gen:f:pos
gwarantowania,gwarantować,ger:sg:gen:n:imperf:aff
gwarantowany,gwarantowany,adj:sg:nom:m1:pos
gwarantowanych,gwarantowany,adj:pl:gen:m1:pos
gwarantowaną,gwarantowany,adj:sg:acc:f:pos
gwarantować,gwarantować,inf:imperf
gwarantował,gwarantować,praet:sg:m1:imperf
gwarantowała,gwarantować,praet:sg:f:imperf
gwarantowała,gwarantować,praet:sg:f:imperf
by,by,qub
gwarantuje,gwarantować,fin:sg:ter:imperf
gwarantują,gwarantować,fin:pl:ter:imperf
gwarantujące,gwarantować,pact:sg:nom:n:imperf:aff
gwarantującego,gwarantować,pact:sg:gen:m1:imperf:aff
gwarantującej,gwarantować,pact:sg:gen:f:imperf:aff
gwarantującemu,gwarantować,pact:sg:dat:m1:imperf:aff
gwarantujący,gwarantować,pact:sg:nom:m1:imperf:aff
gwarantujących,gwarantować,pact:pl:gen:m1:imperf:aff
gwarantującym,gwarantować,pact:sg:inst:m1:imperf:aff
gwarantującymi,gwarantować,pact:pl:inst:m1:imperf:aff
gwarantującą,gwarantować,pact:sg:acc:f:imperf:aff
gwarantów,gwarant,subst:pl:gen:m1
gwarectwach,gwarectwo,subst:pl:loc:n
gwałt,gwałt,subst:sg:nom:m3
gwałtownego,gwałtowny,adj:sg:gen:m1:pos
gwałtowny,gwałtowny,adj:sg:nom:m1:pos
gwałtu,gwałt,subst:sg:gen:m3
gwh,gwh,ign
gwiazda,gwiazda,subst:sg:nom:f
gwiazdkowe,gwiazdkowy,adj:sg:nom:n:pos
gwiazdkowych,gwiazdkowy,adj:pl:gen:m1:pos
gwieździe,gwiazda,subst:sg:dat:f
gwintowanych,gwintować,ppas:pl:gen:m1:imperf:aff
gzymsy,gzyms,subst:pl:nom:m3
gólności,gólności,ign
gólnych,gólnych,ign
góra,góra,subst:sg:nom:f
górach,góra,subst:pl:loc:f
górce,górka,subst:sg:dat:f
górna,górny,adj:sg:nom:f:pos
górne,górny,adj:sg:nom:n:pos
górnego,górny,adj:sg:gen:m1:pos
górnej,górny,adj:sg:gen:f:pos
górnictwa,górnictwo,subst:sg:gen:n
górnictwem,górnictwo,subst:sg:inst:n
górnictwie,górnictwo,subst:sg:loc:n
górnicza,górniczy,adj:sg:nom:f:pos
górnicze,górniczy,adj:sg:nom:n:pos
górniczego,górniczy,adj:sg:gen:m1:pos
górniczej,górniczy,adj:sg:gen:f:pos
górniczemu,górniczy,adj:sg:dat:m1:pos
górniczo,górniczo,adv:pos
górniczy,górniczy,adj:sg:nom:m1:pos
górniczych,górniczy,adj:pl:gen:m1:pos
górniczym,górniczy,adj:sg:inst:m1:pos
górniczymi,górniczy,adj:pl:inst:m1:pos
górniczą,górniczy,adj:sg:acc:f:pos
górnika,górnik,subst:sg:gen:m1
górnikom,górnik,subst:pl:dat:m1
górników,górnik,subst:pl:gen:m1
górny,górny,adj:sg:nom:m1:pos
górnych,górny,adj:pl:gen:m1:pos
górnym,górny,adj:sg:inst:m1:pos
górną,górny,adj:sg:acc:f:pos
górotworu,górotwór,subst:sg:gen:m3
górotworze,górotwór,subst:sg:loc:m3
górowski,górowski,adj:sg:nom:m1:pos
górski,górski,adj:sg:nom:m1:pos
górskich,górski,adj:pl:gen:m1:pos
górskie,górski,adj:sg:nom:n:pos
górskiego,górski,adj:sg:gen:m1:pos
górskiej,górski,adj:sg:gen:f:pos
górskim,górski,adj:sg:inst:m1:pos
góry,góra,subst:sg:gen:f
górze,góra,subst:sg:dat:f
górę,góra,subst:sg:acc:f
gózd,Gózd,subst:sg:nom:m3
gąbczasta,gąbczasty,adj:sg:nom:f:pos
gąbczaste,gąbczasty,adj:sg:nom:n:pos
gąbczastej,gąbczasty,adj:sg:gen:f:pos
gąbczastych,gąbczasty,adj:pl:gen:m1:pos
gąbczastą,gąbczasty,adj:sg:acc:f:pos
gąbin,gąbin,ign
gądki,gądki,ign
gęsi,gęś,subst:sg:gen:f
gęsto,gęsto,adv:pos
gęstości,gęstość,subst:sg:gen:f
gęstość,gęstość,subst:sg:nom:f
gęś,gęś,subst:sg:nom:f
gładka,gładki,adj:sg:nom:f:pos
gładkich,gładki,adj:pl:gen:m1:pos
gładkiej,gładki,adj:sg:gen:f:pos
głazy,głaz,subst:pl:nom:m3
głazów,głaz,subst:pl:gen:m3
głodem,głód,subst:sg:inst:m3
głogowski,głogowski,adj:sg:nom:m1:pos
głogu,głóg,subst:sg:gen:m3
głogów,głóg,subst:pl:gen:m3
głos,głos,subst:sg:nom:m3
głosami,głos,subst:pl:inst:m3
głosem,głos,subst:sg:inst:m3
głosowali,głosować,praet:pl:m1:imperf
głosowania,głosowanie,subst:sg:gen:n
głosowaniach,głosowanie,subst:pl:loc:n
głosowanie,głosowanie,subst:sg:nom:n
głosowaniem,głosowanie,subst:sg:inst:n
głosowaniu,głosowanie,subst:sg:dat:n
głosować,głosować,inf:imperf
głosował,głosować,praet:sg:m1:imperf
głosowy,głosowy,adj:sg:nom:m1:pos
głosu,głos,subst:sg:gen:m3
głosuje,głosować,fin:sg:ter:imperf
głosującego,głosować,pact:sg:gen:m1:imperf:aff
głosujący,głosować,pact:sg:nom:m1:imperf:aff
głosujących,głosować,pact:pl:gen:m1:imperf:aff
głosy,głos,subst:pl:nom:m3
głosów,głos,subst:pl:gen:m3
głowa,głowa,subst:sg:nom:f
głowic,głowica,subst:pl:gen:f
głowie,głowa,subst:sg:dat:f
głownie,głownia,subst:pl:nom:f
głowom,głowa,subst:pl:dat:f
głowy,głowa,subst:sg:gen:f
głową,głowa,subst:sg:inst:f
głowę,głowa,subst:sg:acc:f
głośników,głośnik,subst:pl:gen:m3
głubczyce,Głubczyce,subst:pl:nom:n
głuche,głuchy,adj:sg:nom:n:pos
głuchego,głuchy,adj:sg:gen:m1:pos
głuchy,głuch,depr:pl:nom:m2
głuchych,głuchy,adj:pl:gen:m1:pos
głuchów,głuch,subst:pl:gen:m1
głwnego,głwnego,ign
głwny,głwny,ign
główna,główny,adj:sg:nom:f:pos
główne,główny,adj:sg:nom:n:pos
głównego,główny,adj:sg:gen:m1:pos
głównej,główny,adj:sg:gen:f:pos
głównemu,główny,adj:sg:dat:m1:pos
główni,głównia,subst:sg:gen:f
głównie,głównie,adv:pos
główny,główny,adj:sg:nom:m1:pos
głównych,główny,adj:pl:gen:m1:pos
głównym,główny,adj:sg:inst:m1:pos
główną,główny,adj:sg:acc:f:pos
głąb,głąb,subst:sg:nom:m1
głębce,głębce,ign
głębi,głąb,subst:sg:gen:f
głębieniu,głębić,ger:sg:dat:n:imperf:aff
głębinowych,głębinowy,adj:pl:gen:m1:pos
głębinową,głębinowy,adj:sg:acc:f:pos
głębokie,głęboki,adj:sg:nom:n:pos
głębokiego,głęboki,adj:sg:gen:m1:pos
głębokim,głęboki,adj:sg:inst:m1:pos
głębokości,głębokość,subst:sg:gen:f
głębokość,głębokość,subst:sg:nom:f
głębsze,głębszy,subst:pl:nom:m2
h,h,ign
ha,ha,subst:sg:nom:n
habilitacyjne,habilitacyjny,adj:sg:nom:n:pos
habilitacyjnego,habilitacyjny,adj:sg:gen:m1:pos
habilitacyjnej,habilitacyjny,adj:sg:gen:f:pos
habilitacyjnych,habilitacyjny,adj:pl:gen:m1:pos
habilitacyjnym,habilitacyjny,adj:sg:inst:m1:pos
habilitowanego,habilitować,ppas:sg:gen:m1:imperf:aff
habilitowany,habilitować,ppas:sg:nom:m1:imperf:aff
habilitowanych,habilitować,ppas:pl:gen:m1:imperf:aff
